lake,date,depth_m,parameter,value
UpperFourmile,2024-09-07,4.25,phycoC_RFU,-0.13
UpperFourmile,2024-09-07,4.25,temp_C,13.577
UpperFourmile,2024-09-07,4.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,4.5,chla_RFU,0.28
UpperFourmile,2024-09-07,4.5,cond_spec_uScm,21
UpperFourmile,2024-09-07,4.5,cond_uScm,16.4
UpperFourmile,2024-09-07,4.5,do_mgL,7.88
UpperFourmile,2024-09-07,4.5,do_percent,75.7
UpperFourmile,2024-09-07,4.5,orp_mV,167.1
UpperFourmile,2024-09-07,4.5,pH,7.47
UpperFourmile,2024-09-07,4.5,phycoC_RFU,-0.11
UpperFourmile,2024-09-07,4.5,temp_C,13.561
UpperFourmile,2024-09-07,4.75,barometer_mmHg,504.1
UpperFourmile,2024-09-07,4.75,chla_RFU,0.26
UpperFourmile,2024-09-07,4.75,cond_spec_uScm,21
UpperFourmile,2024-09-07,4.75,cond_uScm,16.4
UpperFourmile,2024-09-07,4.75,do_mgL,7.82
UpperFourmile,2024-09-07,4.75,do_percent,75.1
UpperFourmile,2024-09-07,4.75,orp_mV,167.4
UpperFourmile,2024-09-07,4.75,pH,7.46
UpperFourmile,2024-09-07,4.75,phycoC_RFU,-0.11
UpperFourmile,2024-09-07,4.75,temp_C,13.539
UpperFourmile,2024-09-07,5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,5,chla_RFU,0.28
UpperFourmile,2024-09-07,5,cond_spec_uScm,21
UpperFourmile,2024-09-07,5,cond_uScm,16.4
UpperFourmile,2024-09-07,5,do_mgL,7.76
UpperFourmile,2024-09-07,5,do_percent,74.5
UpperFourmile,2024-09-07,5,orp_mV,167.7
UpperFourmile,2024-09-07,5,pH,7.44
UpperFourmile,2024-09-07,5,phycoC_RFU,-0.13
UpperFourmile,2024-09-07,5,temp_C,13.519
UpperFourmile,2024-09-07,5.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,5.25,chla_RFU,0.29
UpperFourmile,2024-09-07,5.25,cond_spec_uScm,21
UpperFourmile,2024-09-07,5.25,cond_uScm,16.4
UpperFourmile,2024-09-07,5.25,do_mgL,7.74
UpperFourmile,2024-09-07,5.25,do_percent,74.3
UpperFourmile,2024-09-07,5.25,orp_mV,168.05
UpperFourmile,2024-09-07,5.25,pH,7.43
UpperFourmile,2024-09-07,5.25,phycoC_RFU,-0.11
UpperFourmile,2024-09-07,5.25,temp_C,13.506
UpperFourmile,2024-09-07,5.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,5.5,chla_RFU,0.33
