lake,date,depth_m,parameter,value
TurkeyCreek,2025-07-16,9.25,do_mgL,0.54
TurkeyCreek,2025-07-16,9.25,do_percent,4.15
TurkeyCreek,2025-07-16,9.25,phycoC_RFU,0.05
TurkeyCreek,2025-07-16,9.25,temp_C,4.396
TurkeyCreek,2025-07-16,9.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,9.5,chla_RFU,-0.04
TurkeyCreek,2025-07-16,9.5,cond_spec_uScm,86.8
TurkeyCreek,2025-07-16,9.5,cond_uScm,52.5
TurkeyCreek,2025-07-16,9.5,do_mgL,0.44
TurkeyCreek,2025-07-16,9.5,do_percent,3.4
TurkeyCreek,2025-07-16,9.5,phycoC_RFU,-0.03
TurkeyCreek,2025-07-16,9.5,temp_C,4.35
TurkeyCreek,2025-07-16,9.75,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,9.75,chla_RFU,-0.04
TurkeyCreek,2025-07-16,9.75,cond_spec_uScm,96.9
TurkeyCreek,2025-07-16,9.75,cond_uScm,58.6
TurkeyCreek,2025-07-16,9.75,do_mgL,0.36
TurkeyCreek,2025-07-16,9.75,do_percent,2.8
TurkeyCreek,2025-07-16,9.75,phycoC_RFU,-0.05
TurkeyCreek,2025-07-16,9.75,temp_C,4.323
TurkeyCreek,2025-07-16,10.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,10.5,chla_RFU,-0.04
TurkeyCreek,2025-07-16,10.5,cond_spec_uScm,105.8
TurkeyCreek,2025-07-16,10.5,cond_uScm,64
TurkeyCreek,2025-07-16,10.5,do_mgL,0.32
TurkeyCreek,2025-07-16,10.5,do_percent,2.5
TurkeyCreek,2025-07-16,10.5,phycoC_RFU,-0.06
TurkeyCreek,2025-07-16,10.5,temp_C,4.304
TurkeyCreek,2025-07-16,10.75,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,10.75,chla_RFU,-0.03
TurkeyCreek,2025-07-16,10.75,cond_spec_uScm,117
TurkeyCreek,2025-07-16,10.75,cond_uScm,70.7
TurkeyCreek,2025-07-16,10.75,do_mgL,0.275
TurkeyCreek,2025-07-16,10.75,do_percent,2.1500000000000004
TurkeyCreek,2025-07-16,10.75,phycoC_RFU,-0.065
TurkeyCreek,2025-07-16,10.75,temp_C,4.2925
TurkeyCreek,2025-07-16,11,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,11,chla_RFU,-0.04
TurkeyCreek,2025-07-16,11,cond_spec_uScm,127.8
TurkeyCreek,2025-07-16,11,cond_uScm,77.25
TurkeyCreek,2025-07-16,11,do_mgL,0.225
TurkeyCreek,2025-07-16,11,do_percent,1.7
TurkeyCreek,2025-07-16,11,phycoC_RFU,-0.07
TurkeyCreek,2025-07-16,11,temp_C,4.285
TurkeyCreek,2025-07-16,11.25,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,11.25,chla_RFU,-0.04
