lake,date,depth_m,parameter,value
LowerFourmile,2024-09-06,5.5,barometer_mmHg,513.3499999999999
LowerFourmile,2024-09-06,5.5,chla_RFU,0.375
LowerFourmile,2024-09-06,5.5,cond_spec_uScm,30.35
LowerFourmile,2024-09-06,5.5,cond_uScm,23.6
LowerFourmile,2024-09-06,5.5,do_mgL,8.59
LowerFourmile,2024-09-06,5.5,do_percent,82.25
LowerFourmile,2024-09-06,5.5,orp_mV,107.25
LowerFourmile,2024-09-06,5.5,pH,8.16
LowerFourmile,2024-09-06,5.5,phycoC_RFU,0.175
LowerFourmile,2024-09-06,5.5,temp_C,13.39
LowerFourmile,2024-09-06,6.25,barometer_mmHg,513.3
LowerFourmile,2024-09-06,6.25,chla_RFU,18
LowerFourmile,2024-09-06,6.25,cond_spec_uScm,30.5
LowerFourmile,2024-09-06,6.25,cond_uScm,23.7
LowerFourmile,2024-09-06,6.25,do_mgL,8.07
LowerFourmile,2024-09-06,6.25,do_percent,77.1
LowerFourmile,2024-09-06,6.25,orp_mV,85.1
LowerFourmile,2024-09-06,6.25,pH,7.82
LowerFourmile,2024-09-06,6.25,phycoC_RFU,45.96
LowerFourmile,2024-09-06,6.25,temp_C,13.295
